Mission_Title,text_chunk,source_file,source_column,chunk_index,column_chunked,chunk_id,original_row_id
Mission_1,cyber response operation cyber operation cyber system cyber security system intel operation response security operation incident response threat assessment incident operation assessment threat operation intel,Tactical_Lessons_Learned.csv,Debrief_Focus_Point_Problem_Statement,1,Debrief_Focus_Point_Problem_Statement,e3f1c93b-e6eb-4bcb-861f-2d78bd1bb138,0
Mission_1,operation intel incident assessment operation operation threat system intel security network operation incident intel intel cyber network network security system operation incident security incident cyber,Tactical_Lessons_Learned.csv,Debrief_Focus_Point_Problem_Statement,2,Debrief_Focus_Point_Problem_Statement,2a0c3c4c-1b5c-43a7-88e0-03e58cf73f04,0
Mission_1,incident cyber network threat system cyber cyber response incident incident response assessment system threat incident system operation assessment intel cyber security network operation intel cyber,Tactical_Lessons_Learned.csv,Debrief_Focus_Point_Problem_Statement,3,Debrief_Focus_Point_Problem_Statement,af88ae71-6952-4462-966a-991b16b7776c,0
Mission_1,intel cyber response network cyber security intel operation operation response network,Tactical_Lessons_Learned.csv,Debrief_Focus_Point_Problem_Statement,4,Debrief_Focus_Point_Problem_Statement,88c7b290-9309-4f2d-911f-ba95999d642a,0
Mission_1,network intel intel incident cyber incident assessment assessment operation cyber incident operation response incident assessment response security operation security threat intel system incident network incident,Tactical_Lessons_Learned.csv,Contributing_Factors,1,Contributing_Factors,a304182a-27df-40a7-ae85-e54c178026ff,0
Mission_1,network incident system threat incident incident network response operation security operation assessment response response response threat assessment operation intel threat incident intel operation response assessment,Tactical_Lessons_Learned.csv,Contributing_Factors,2,Contributing_Factors,e21e4b8a-fe52-4c58-9470-4a52fff85105,0
Mission_1,response assessment intel operation network incident intel response network intel incident assessment security threat assessment threat intel operation network cyber operation network network security threat,Tactical_Lessons_Learned.csv,Contributing_Factors,3,Contributing_Factors,124d0db8-9a64-46d3-99a4-6ccb93f6e1be,0
Mission_1,security threat response assessment assessment cyber threat security security network network,Tactical_Lessons_Learned.csv,Contributing_Factors,4,Contributing_Factors,c0c5e4ab-0ad3-45cc-accc-65ec1ae9d09c,0
Mission_1,system assessment threat security assessment assessment security threat response system operation intel threat intel threat security system assessment assessment threat operation cyber intel incident response,Tactical_Lessons_Learned.csv,Root_Cause,1,Root_Cause,707deb25-6479-400a-92ad-3ee99f6079fa,0
Mission_1,incident response threat operation system cyber system response assessment incident incident system network operation cyber response response system assessment incident system incident assessment network response,Tactical_Lessons_Learned.csv,Root_Cause,2,Root_Cause,5ab5d9b0-69d3-4053-9d69-41518d11720c,0
Mission_1,network response assessment security assessment incident response cyber network operation network threat cyber security security incident threat intel network network network incident intel intel cyber,Tactical_Lessons_Learned.csv,Root_Cause,3,Root_Cause,f343b118-eeb8-44c3-9279-ef6b9a3707e6,0
Mission_1,intel cyber operation threat incident incident system intel system intel security,Tactical_Lessons_Learned.csv,Root_Cause,4,Root_Cause,bbfc3bca-16fa-4206-9341-341d854d6259,0
