Mission_Title,text_chunk,source_file,source_column,chunk_index,column_chunked,chunk_id,original_row_id
Mission_1,operation intel system system intel assessment network operation response assessment security intel threat system security threat operation threat incident security operation security response intel threat,FFIRs_Friction_Points_Recommendations.csv,FFIR,1,FFIR,a44eaaa3-320f-448b-938b-6b19a5689b4d,0
Mission_1,intel threat incident operation incident cyber response threat cyber security security cyber system cyber response incident security threat cyber system incident network assessment threat assessment,FFIRs_Friction_Points_Recommendations.csv,FFIR,2,FFIR,f99b1697-3a2b-4e0e-93dd-e24d6a3fcd38,0
Mission_1,threat assessment incident operation network response threat response cyber incident operation security response network incident response assessment operation security response response response intel assessment network,FFIRs_Friction_Points_Recommendations.csv,FFIR,3,FFIR,4018f118-7379-41ca-b9da-1cb387d4dc43,0
Mission_1,assessment network network incident network security assessment threat cyber system intel,FFIRs_Friction_Points_Recommendations.csv,FFIR,4,FFIR,d61b06dd-ea1f-4f43-aa65-3bc25a5b8a77,0
Mission_1,network intel network incident network threat cyber network incident security cyber threat assessment system operation assessment operation network network response incident threat security network security,FFIRs_Friction_Points_Recommendations.csv,Friction_Point,1,Friction_Point,50173ffc-f31e-4c60-9cbc-80363270fb7b,0
Mission_1,network security assessment network operation security cyber response network assessment network intel security assessment security operation operation assessment network incident intel assessment security response incident,FFIRs_Friction_Points_Recommendations.csv,Friction_Point,2,Friction_Point,7f11e777-70ae-4dd4-b5ad-7681484aa821,0
Mission_1,response incident cyber cyber intel response operation security response threat assessment system system response response assessment cyber assessment security incident intel system response cyber threat,FFIRs_Friction_Points_Recommendations.csv,Friction_Point,3,Friction_Point,4a339df9-257e-40bc-a9f5-3159ee000a37,0
Mission_1,cyber threat system cyber assessment assessment network incident security cyber response,FFIRs_Friction_Points_Recommendations.csv,Friction_Point,4,Friction_Point,7b57bf55-905c-4496-93a8-61e2208fcdf4,0
Mission_1,operation intel system intel cyber security response cyber network assessment assessment system operation incident cyber security threat cyber system intel response incident intel response cyber,FFIRs_Friction_Points_Recommendations.csv,Recommendation,1,Recommendation,0740cc3f-9d75-49a6-8bac-2d73d4143930,0
Mission_1,response cyber response assessment threat response intel intel operation incident response operation security threat threat network intel response system intel assessment operation system response incident,FFIRs_Friction_Points_Recommendations.csv,Recommendation,2,Recommendation,153bb48a-9f71-45c5-8c45-22f1122e22f0,0
