Mission_Title,Issue_ID,Equipment_Type,Reported_By,Date_Reported,Status,text_chunk,source_file,source_column,chunk_index,column_chunked,chunk_id,original_row_id
Mission_1,ISSUE001,Server,User B,2025-12-04,Closed,network operation cyber threat intel response intel network system response intel cyber system threat response incident incident operation network assessment response response intel response cyber,Equipment_Issues.csv,Equipment Issues,1,Equipment Issues,70c91081-8676-4e6d-bf32-f5c5c3f7b579,0
Mission_1,ISSUE001,Server,User B,2025-12-04,Closed,response cyber operation intel threat intel assessment incident security intel intel network threat cyber assessment intel cyber network assessment intel response intel security assessment security,Equipment_Issues.csv,Equipment Issues,2,Equipment Issues,4a78a3c8-8e4f-4079-8a93-5233eaf6657d,0
Mission_1,ISSUE001,Server,User B,2025-12-04,Closed,assessment security threat operation system incident operation threat threat threat intel intel threat assessment incident network threat threat network operation security operation threat assessment threat,Equipment_Issues.csv,Equipment Issues,3,Equipment Issues,9034d668-3f20-416f-845b-460b61e2f81d,0
Mission_1,ISSUE001,Server,User B,2025-12-04,Closed,assessment threat intel operation incident assessment security operation system operation operation intel assessment security network system intel system incident security threat security operation cyber threat,Equipment_Issues.csv,Equipment Issues,4,Equipment Issues,a6fa28de-5d5c-4b1f-96a2-e317c6e6c8a2,0
Mission_1,ISSUE001,Server,User B,2025-12-04,Closed,cyber threat assessment security cyber intel intel response,Equipment_Issues.csv,Equipment Issues,5,Equipment Issues,e7c3d364-f327-466f-a3bb-66e4e32050c7,0
Mission_2,ISSUE002,Server,User C,2025-12-05,Open,intel system cyber response intel cyber incident response cyber response intel cyber system system incident cyber intel assessment cyber system intel assessment security response assessment,Equipment_Issues.csv,Equipment Issues,1,Equipment Issues,64472ab9-6d40-4857-b890-c0116b071380,1
Mission_2,ISSUE002,Server,User C,2025-12-05,Open,response assessment operation system security assessment intel security cyber incident assessment assessment threat response incident cyber operation operation incident response security cyber assessment network threat,Equipment_Issues.csv,Equipment Issues,2,Equipment Issues,a1544533-b72c-4e1e-adf2-87331c27565d,1
Mission_2,ISSUE002,Server,User C,2025-12-05,Open,network threat security system response security response system cyber response assessment security intel operation response assessment security security system security assessment incident security threat incident,Equipment_Issues.csv,Equipment Issues,3,Equipment Issues,f5706e06-f828-4bd2-8ae4-6c4f558fab72,1
Mission_2,ISSUE002,Server,User C,2025-12-05,Open,threat incident threat security system incident security cyber operation system assessment operation intel assessment response response cyber system intel system incident response operation assessment response,Equipment_Issues.csv,Equipment Issues,4,Equipment Issues,67a10fa7-d24d-4649-988d-4e5daca8df65,1
Mission_2,ISSUE002,Server,User C,2025-12-05,Open,assessment response cyber cyber assessment response threat cyber,Equipment_Issues.csv,Equipment Issues,5,Equipment Issues,2ad76c0c-779b-4b10-a23a-8c467ed1b08d,1
